"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL2006493";"";"0";"282.22";"0";"3.33";"SID103905619";"O=C1CCCc2oc3cc(C(F)(F)F)ccc3c(=O)c21";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1995172";"";"0";"235.08";"0";"2.74";"SID103905581";"Brc1ccc2c(c1)-c1[nH]ncc1C2";"Ki";"'>'";"10000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1977619";"";"0";"245.26";"0";"2.16";"SID103905074";"O=C(O)c1cc(-c2cccs2)n2nccc2n1";"Ki";"'>'";"19952.62";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1990288";"";"0";"399.43";"1";"5.36";"SID103904410";"CC(Nc1nccc(-c2c(-c3ccc(F)cc3)nc3occn23)n1)c1ccccc1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL397570";"";"0";"300.36";"0";"3.89";"SB-347804";"N#Cc1c(NC(=O)c2ccc(F)cc2)sc2c1CCCC2";"Inhibition";"'='";"-1.49";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL485745";"GW434756X";"0";"289.31";"0";"4.20";"GW434756X";"Fc1ccc(-c2nn3ccccc3c2-c2ccncc2)cc1";"Inhibition";"'='";"-0.08";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL4577224";"";"0";"452.49";"0";"3.48";"25";"CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)N(C)C)c1OC";"IC50";"'='";"750.0";"nM";"6.12";"";"";"UO_0000065";"13.54";"0.25";"2.64";"5.65";"0";"CHEMBL4377381";"Inhibition of TYK2 in human whole blood assessed as decrease in IFNalpha-induced STAT5 phosphorylation preincubated for 1 hr followed by stimulation with IFN-alpha for 15 mins by fluorescence analysis";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4376812";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4527672";"";"0";"478.53";"0";"3.92";"26";"CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCC2CC2)c1OC";"IC50";"'='";"870.0";"nM";"6.06";"";"";"UO_0000065";"12.66";"0.24";"2.14";"5.17";"0";"CHEMBL4377381";"Inhibition of TYK2 in human whole blood assessed as decrease in IFNalpha-induced STAT5 phosphorylation preincubated for 1 hr followed by stimulation with IFN-alpha for 15 mins by fluorescence analysis";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4376812";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4435079";"";"0";"462.49";"0";"3.58";"36";"CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nncn2C)c1OC";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"14.75";"0.27";"3.24";"5.74";"0";"CHEMBL4377381";"Inhibition of TYK2 in human whole blood assessed as decrease in IFNalpha-induced STAT5 phosphorylation preincubated for 1 hr followed by stimulation with IFN-alpha for 15 mins by fluorescence analysis";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4376812";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL3952936";"";"0";"339.40";"0";"1.86";"BDBM255003";"N#CCN1CN([C@H]2CC[C@H](CO)CC2)c2c(cnc3[nH]ccc23)C1=O";"IC50";"'='";"52.0";"nM";"7.28";"";"443993";"UO_0000065";"21.46";"0.40";"5.42";"7.57";"0";"CHEMBL3889260";"Enzyme Assay: The inhibitory activity of the compounds of the present invention against JAK was measured.The respective enzymes (JAK1, JAK2, JAK3 and Tyk2) were purchased from Carna Biosciences, Inc.As a substrate of the enzymes (hereinafter referred to as substrate), LANCE Ultra ULight-JAK-1 (Tyr1023) Peptide (manufactured by PerkinElmer Inc.) was used.As an antibody for detecting phosphorylation of the substrate, LANCE Ultra Europium-anti-phospho tyrosine antibody (PT66) (manufactured by PerkinElmer Inc.) was used.The other reagents were purchased from the following.Adenosine triphosphate (ATP): Sigma-Aldrich4-(2-Hydroxyethyl)-1-piperazineethanesulfonic acid (HEPES): DOJINDO LABORATORIESGlycol ether diamine tetraacetic acid (EGTA): DOJINDO LABORATORIES Magnesium chloride (MgCl2): Wako Pure Chemical Industries, Ltd.Dithiothreitol (DTT): Wako Pure Chemical Industries, Ltd.Tween 20: Sigma-AldrichEthylenediaminetetraacetic acid (EDTA): DOJINDO LABORATORIESThe compounds of the present invention, the enzymes (JAK1, JAK2, JAK3 and Tyk2), the substrate and ATP were used for assay as diluted with assay buffer.Â  As the assay buffer, one having the following composition was used.Â  HEPES (pH7.5): 50 mM EGTA: 1 mM MgCl2: 10 mM DTT: 2 mM Tween 20: 0.01% (wt/wt). The dilute concentration and the addition amount on a well plate as described hereinafter were adjusted so that the following final concentrations were achieved on the well plate.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3887014";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL4283823";"";"0";"320.35";"0";"3.48";"Yfq26";"COc1ccc(Nc2cc(NC(=O)c3ccccc3)ncn2)cc1";"Inhibition";"'='";"-7.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4267277";"Inhibition of human N-terminal GST-tagged TYK2 catalytic domain (871 to 1187 residues) expressed in baculovirus expression system at 1 uM using FAM-labeled peptide as substrate after 10 mins by mobility shift assay relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4265907";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL306865";"GW784752X";"0";"345.37";"0";"2.67";"GW784752X";"COc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1";"Inhibition";"'='";"0.71";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL233000";"";"0";"282.37";"0";"3.75";"5";"N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2";"Activity";"";"";"";"";"";"Not Evaluated";"";"";"";"";"";"0";"CHEMBL1025743";"Binding affinity to human TYK2 at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151712";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL1081290";"";"0";"376.41";"1";"5.26";"3";"COc1cc(Nc2nc3cccc(-c4ccccc4)c3o2)cc(OC)c1OC";"IC50";"'='";"3400.0";"nM";"5.47";"";"";"UO_0000065";"14.53";"0.27";"0.21";"8.32";"0";"CHEMBL1102773";"Inhibition of GST-tagged TYK2 assessed as inhibition of biotinylated IRS1 substrate phosphorylation after 60 mins by caliper mobility shift assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154949";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1981079";"";"0";"331.74";"0";"2.61";"SID103904988";"NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc(Cl)cc1F";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1991429";"";"0";"585.69";"2";"6.57";"SID103904411";"O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCCC4=O)c3)n2)c1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL398951";"";"0";"415.50";"0";"3.41";"SID103904813";"N#Cc1ccc(-c2n[nH]c3c2Cc2ccc(OCCCCN4CCOCC4)cc2-3)cn1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1984432";"";"0";"303.37";"0";"3.49";"SID103904530";"Cc1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)c(C)c1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL117697";"";"0";"251.29";"0";"3.38";"SID103904646";"COc1cccc(Nc2ncnc3ccccc23)c1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1971021";"";"0";"439.44";"1";"5.88";"SID103904332";"Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)c(C(F)(F)F)c2)c1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1974310";"";"0";"272.30";"0";"3.20";"SID103904987";"NC(=O)c1cc2c(-c3ccc(F)cc3)cncc2s1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL412142";"LADUVIGLUSIB";"0";"465.35";"0";"4.94";"SID103905640";"Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL223367";"";"0";"431.88";"0";"3.51";"SID103905150";"N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL274064";"SB-220025";"0";"338.39";"0";"2.65";"SID103905253";"Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1979176";"";"0";"362.31";"0";"4.30";"SID103904896";"COc1ccc2c(NC(=O)Nc3cc(C(F)(F)F)ccn3)ccnc2c1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL248757";"";"0";"471.93";"0";"4.27";"SID103905151";"N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1986139";"";"0";"261.74";"0";"4.09";"SID103905168";"Clc1csc2ncnc(Nc3ccccc3)c12";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1970104";"";"0";"290.37";"0";"4.40";"SID103904906";"CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1";"Ki";"'='";"251.19";"nM";"6.60";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1190711";"";"0";"390.40";"0";"2.65";"SID103905231";"COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL2002323";"";"0";"242.26";"0";"2.43";"SID103905202";"Cc1ccc(F)c(-c2ccc3nnc(N)n3c2)c1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1982866";"";"0";"314.78";"0";"3.31";"SID103905540";"COCCn1cc(-c2ccncn2)c(-c2ccc(Cl)cc2)n1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963765";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: TYK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL4279157";"";"0";"310.36";"0";"2.23";"18";"CNc1cc(Nc2cc(C)cc(C)c2)nn2c(C(N)=O)cnc12";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"26.28";"0.48";"5.92";"8.38";"0";"CHEMBL4251840";"Displacement of [3H]-(R)-N-(1-(3-(8-methyl-5-(methylamino)-8H-imidazo[4,5-d]thiazolo[5,4-b]pyridin-2-yl)phenyl)ethyl)-2-(methylsulfonyl)benzamide from N-terminal His-tagged TYK2 JH2 domain (unknown origin) after 30 mins by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251544";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL4287761";"";"0";"434.45";"0";"2.55";"28";"CNc1cc(Nc2cc(F)cc(F)c2OC)nn2c(C(=O)NCC(C)(C)CO)cnc12";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"18.92";"0.36";"5.67";"7.29";"0";"CHEMBL4251840";"Displacement of [3H]-(R)-N-(1-(3-(8-methyl-5-(methylamino)-8H-imidazo[4,5-d]thiazolo[5,4-b]pyridin-2-yl)phenyl)ethyl)-2-(methylsulfonyl)benzamide from N-terminal His-tagged TYK2 JH2 domain (unknown origin) after 30 mins by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251544";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL4287081";"";"0";"324.39";"0";"2.62";"19";"CCNc1cc(Nc2cc(C)cc(C)c2)nn2c(C(N)=O)cnc12";"IC50";"'='";"600.0";"nM";"6.22";"";"";"UO_0000065";"19.18";"0.35";"3.60";"6.39";"0";"CHEMBL4251842";"Inhibition of TYK2 JH2 domain in IFNalpha-stimulated human Kit225 T cells by luciferase reporter assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251544";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL3589166";"";"0";"429.48";"0";"3.57";"3";"COc1cccc(-c2cc(C(N)=O)c3[nH]c4ccc(C(=O)N5CCOCC5)cc4c3c2)c1";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"17.45";"0.32";"3.92";"7.68";"0";"CHEMBL3592852";"Inhibition of TYK2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3588791";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
"CHEMBL3589173";"";"0";"472.37";"0";"4.20";"10";"NC(=O)c1cc(-c2ccc(Cl)c(Cl)c2)cc2c3c([nH]c12)CCC(C(=O)N1CCOCC1)C3";"IC50";"'='";"608.0";"nM";"6.22";"";"";"UO_0000065";"13.16";"0.27";"2.02";"7.03";"0";"CHEMBL3592852";"Inhibition of TYK2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3588791";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
"CHEMBL3589328";"";"0";"386.46";"0";"3.63";"20";"Cc1ccc(-c2cc(C(N)=O)c3[nH]c4cc(N5CCOCC5)ccc4c3c2)cn1";"IC50";"'='";"117.0";"nM";"6.93";"";"";"UO_0000065";"17.94";"0.33";"3.30";"8.23";"0";"CHEMBL3592852";"Inhibition of TYK2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3588791";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
"CHEMBL4281304";"";"0";"470.43";"0";"4.97";"33";"NC(=O)c1cnc2c(NC3CC3)cc(Nc3cccc(-c4ccc(C(F)(F)F)cc4F)c3)nn12";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"12.67";"0.24";"0.99";"6.12";"0";"CHEMBL4251842";"Inhibition of TYK2 JH2 domain in IFNalpha-stimulated human Kit225 T cells by luciferase reporter assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251544";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL3621496";"";"0";"430.48";"0";"3.61";"6";"CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccccc4F)c23)CC1";"IC50";"'='";"753.0";"nM";"6.12";"";"";"UO_0000065";"14.22";"0.26";"2.51";"7.43";"0";"CHEMBL3627433";"Inhibition of TYK2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621099";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
